alpha,Cache size,Number of queries,Epoch threshold,Time (no madvise; s),Time (madvise; s),Warmup Time (no madvise; s),Warmup Time (madvise; s)
0.1,1000,1000,4,0.0,0.0,0.6544844,0.9576636
0.1,1000,5000,4,0.0,0.0,2.7814196,3.7559292
0.1,1000,10000,4,0.0,0.0,5.3550822,9.9272684
0.1,1000,20000,4,0.0,0.0,9.9293724,12.8332636
0.1,1000,50000,4,0.0,0.0,23.2386262,28.9858286
0.1,1000,100000,4,0.0,0.0,43.849399,49.9222108
0.1,1000,200000,4,0.0,0.0,81.7722146,87.6912058
0.1,1000,500000,4,148.9508,133.6266,81.0408014,88.9519978
0.1,1000,1000000,4,154.733,139.8985,80.6333135,87.3222975
0.5,1000,1000,4,0.0,0.0,0.4928964,1.3055276
0.5,1000,5000,4,0.0,0.0,2.196745,3.0830188
0.5,1000,10000,4,0.0,0.0,4.1289752,6.0339344
0.5,1000,20000,4,0.0,0.0,7.9837798,10.8857522
0.5,1000,50000,4,0.0,0.0,18.4375286,25.4026758
0.5,1000,100000,4,0.0,0.0,34.8337934,44.0820526
0.5,1000,200000,4,0.0,0.0,64.3669156,70.901181
0.5,1000,500000,4,150.0758,96.47725,65.2983888,71.59390825
0.5,1000,1000000,4,255.1944,196.428,65.4760304,72.2409785
1,1000,1000,4,0.0,0.0,0.3588722,0.5053568
1,1000,5000,4,0.0,0.0,1.3927908,1.854248
1,1000,10000,4,0.0,0.0,2.5988792,3.581976
1,1000,20000,4,0.0,0.0,4.9274812,6.5912132
1,1000,50000,4,0.0,0.0,11.5820608,15.4813124
1,1000,100000,4,0.0,0.0,21.5173728,27.5102108
1,1000,200000,4,0.0,0.0,38.0448548,53.4207984
1,1000,500000,4,70.5494,65.3828,38.1183434,54.1490094
1,1000,1000000,4,151.9434,139.9926,38.1196142,53.4278736
